date,highest,lowest
1,30,19
2,31,19
3,33,19
4,33,20
5,31,22
6,32,22
7,32,23
8,33,23
9,33,24
10,31,23
11,32,22
12,32,22
13,30,21
14,28,20
15,28,19
16,28,18
17,29,18
18,28,18
19,26,17
20,28,18
21,27,18
22,25,17
23,26,16
24,28,15
25,30,17
26,31,18
27,31,19
28,32,20
29,32,21
30,32,21
31,32,22
32,29,22
33,28,23
34,26,23
35,28,24
36,27,23
37,25,22
38,26,22
39,32,26
40,30,25
41,31,28
42,31,28
43,32,28
44,32,29
45,32,28
46,32,26
47,31,20
48,32,21
49,32,21
50,33,22
51,33,22
52,31,23
53,32,23
54,31,25
55,32,28
56,32,28
57,33,28
58,33,26
59,34,28
60,32,21
61,33,21
62,34,22
63,35,22
64,36,23
65,33,23
66,31,24
67,32,25
68,36,28
69,36,30
70,36,30
71,37,30
72,38,28
73,38,28
74,37,28
75,38,29
76,38,28
77,37,28
78,32,28
79,36,28
80,36,27
81,36,26
82,37,26
83,38,26
84,31,25
85,32,27
86,31,28
87,34,28
88,35,28
89,36,29
90,30,28
91,31,26
92,31,25
93,32,22
94,32,23
95,32,23
96,32,24
97,34,24
98,35,26
99,35,25
100,33,28
101,33,26
102,34,25
103,35,28
104,35,28
105,33,28
106,31,29
107,31,28
108,32,26
109,32,24
110,32,26
111,32,26
112,31,26
113,32,26
114,32,25
115,33,28
116,34,27
117,35,27
118,35,28
119,33,28
120,32,28
